epoch,objective,mean_loss,variance,cvar,terminal_penalty,avg_terminal_inventory_fraction,avg_participation_used
1,0.018684346228837967,0.0017036469653248787,8.049548341659829e-05,0.016980700194835663,0.0,0.0,0.017254840582609177
2,0.013630136847496033,0.0004228375037200749,4.834369246964343e-05,0.013207299634814262,0.0,0.0,0.017572224140167236
3,0.013147182762622833,0.00031198287615552545,5.640842209686525e-05,0.012835199944674969,0.0,0.0,0.016072595492005348
4,0.01296802144497633,-0.0010352283716201782,7.229395123431459e-05,0.014003249816596508,0.0,0.0,0.01767735183238983
5,0.018660597503185272,0.0009260483784601092,5.673971463693306e-05,0.017734549939632416,0.0,0.0,0.017318252474069595
6,0.013321761973202229,-0.000566237373277545,5.749763295170851e-05,0.013887999579310417,0.0,0.0,0.01715647056698799
7,0.016333026811480522,0.0005529531626962125,6.396755634341389e-05,0.015780074521899223,0.0,0.0,0.01617206260561943
8,0.008226362057030201,-0.0017073124181479216,5.470054020406678e-05,0.009933674708008766,0.0,0.0,0.016446763649582863
9,0.010317286476492882,-5.5714044719934464e-05,4.22177035943605e-05,0.010373000055551529,0.0,0.0,0.016369080170989037
10,0.018455250188708305,-0.00019989837892353535,7.398454181384295e-05,0.01865514926612377,0.0,0.0,0.01650584116578102
11,0.013413984328508377,-0.0010768156498670578,5.090663762530312e-05,0.014490799978375435,0.0,0.0,0.015956653282046318
12,0.010315279476344585,-0.0003025453188456595,3.650568032753654e-05,0.010617825202643871,0.0,0.0,0.015526959672570229
13,0.012720352970063686,-0.0005630218074657023,4.40675466961693e-05,0.013283374719321728,0.0,0.0,0.015863608568906784
14,0.01807617023587227,-0.00020820455392822623,7.578032091259956e-05,0.018284374848008156,0.0,0.0,0.016401175409555435
15,0.018217388540506363,0.0013764657778665423,4.5816788770025596e-05,0.016840923577547073,0.0,0.0,0.015119986608624458
16,0.014919640496373177,0.0006101407343521714,5.142142254044302e-05,0.01430949941277504,0.0,0.0,0.014767253771424294
17,0.011344900354743004,-0.0004504500248003751,4.152314068051055e-05,0.011795350350439548,0.0,0.0,0.015932399779558182
18,0.01563994772732258,0.00019864688511006534,4.051650466863066e-05,0.015441300347447395,0.0,0.0,0.015015202574431896
19,0.011966045945882797,-0.0005794031312689185,4.64334043499548e-05,0.01254544872790575,0.0,0.0,0.014861846342682838
20,0.011313837952911854,2.6125344447791576e-06,3.359786205692217e-05,0.011311225593090057,0.0,0.0,0.014962641522288322
21,0.011330760084092617,0.0008742843638174236,2.6867246560868807e-05,0.010456475429236889,0.0,0.0,0.014635354280471802
22,0.014603456482291222,0.0007615812355652452,5.5281718232436106e-05,0.013841874897480011,0.0,0.0,0.015537303872406483
23,0.013257049955427647,0.0006732000038027763,3.8634741940768436e-05,0.01258384995162487,0.0,0.0,0.01507582701742649
24,0.011063183657824993,0.00021138283773325384,3.158174513373524e-05,0.010851800441741943,0.0,0.0,0.014836430549621582
25,0.013665889389812946,0.0010459640761837363,3.2597017707303166e-05,0.012619925662875175,0.0,0.0,0.015437642112374306
