epoch,objective,mean_loss,variance,cvar,terminal_penalty,avg_terminal_inventory_fraction,avg_participation_used
1,0.01294197142124176,-0.0010116532212123275,5.76499332964886e-05,0.013953624293208122,0.0,0.0,0.01659315824508667
2,0.00998486764729023,-0.0017118577379733324,5.970405618427321e-05,0.011696725152432919,0.0,0.0,0.01699969358742237
3,0.013135932385921478,-0.00033061718568205833,4.725611142930575e-05,0.013466550037264824,0.0,0.0,0.01639888808131218
4,0.016336938366293907,0.0007885375525802374,6.170364940771833e-05,0.015548400580883026,0.0,0.0,0.016000840812921524
5,0.017618954181671143,0.0011735548032447696,6.803018186474219e-05,0.016445400193333626,0.0,0.0,0.017262142151594162
6,0.01596139371395111,0.0019778688438236713,4.2908395698759705e-05,0.013983525335788727,0.0,0.0,0.016431566327810287
7,0.011289548128843307,-0.002771677915006876,7.413291314151138e-05,0.014061225578188896,0.0,0.0,0.01729460060596466
8,0.015383448451757431,0.0003476483980193734,4.706851905211806e-05,0.015035799704492092,0.0,0.0,0.016775930300354958
9,0.018285080790519714,0.001668029697611928,5.24611423315946e-05,0.016617050394415855,0.0,0.0,0.016412995755672455
10,0.011401208117604256,-0.0010286672040820122,5.090890044812113e-05,0.012429875321686268,0.0,0.0,0.016548840329051018
11,0.016292087733745575,0.0012623874936252832,4.396522854221985e-05,0.015029700472950935,0.0,0.0,0.016717420890927315
12,0.011528465896844864,-9.093435073737055e-05,3.639006899902597e-05,0.01161940023303032,0.0,0.0,0.015358383767306805
13,0.006596761289983988,-0.0015963887562975287,3.957924491260201e-05,0.008193150162696838,0.0,0.0,0.015942513942718506
14,0.012111478485167027,0.0006975280703045428,3.8857629988342524e-05,0.011413950473070145,0.0,0.0,0.015360047109425068
15,0.011582961305975914,-0.00043458901927806437,5.879603122593835e-05,0.012017549946904182,0.0,0.0,0.015189575031399727
16,0.015210848301649094,0.0007926984690129757,5.6737619161140174e-05,0.01441814936697483,0.0,0.0,0.015841128304600716
17,0.012164922431111336,0.000996323418803513,2.753371518338099e-05,0.011168599128723145,0.0,0.0,0.015687329694628716
18,0.017915062606334686,0.0004970376612618566,4.883346628048457e-05,0.01741802506148815,0.0,0.0,0.01574874296784401
19,0.012289008125662804,-0.0005315422313287854,4.990020170225762e-05,0.012820550240576267,0.0,0.0,0.01533448975533247
20,0.016099415719509125,0.0005554656381718814,5.037192386225797e-05,0.015543950721621513,0.0,0.0,0.015682652592658997
21,0.014173652976751328,0.0006527515361085534,2.978918928420171e-05,0.013520901091396809,0.0,0.0,0.015020610764622688
22,0.014803850091993809,0.00034252501791343093,4.837890446651727e-05,0.014461325481534004,0.0,0.0,0.015153099782764912
23,0.011667349375784397,0.0005742499488405883,3.2508469303138554e-05,0.011093099601566792,0.0,0.0,0.01482755970209837
24,0.012135771103203297,0.0001356952852802351,2.8244119675946422e-05,0.012000075541436672,0.0,0.0,0.01469759177416563
25,0.011247076094150543,-0.0003687234129756689,3.2392323191743344e-05,0.011615799739956856,0.0,0.0,0.0146089568734169
