epoch,objective,mean_loss,variance,cvar,terminal_penalty,avg_terminal_inventory_fraction,avg_participation_used
1,0.0007411089027300477,0.0007192140910774469,4.3789656047010794e-05,0.014964674599468708,0.0,0.0,0.016633912920951843
2,-0.0012292247265577316,-0.00125191081315279,4.537211134447716e-05,0.00983902532607317,0.0,0.0,0.017154309898614883
3,-1.403827263857238e-05,-4.464999074116349e-05,6.122343620518222e-05,0.016428574919700623,0.0,0.0,0.01685735024511814
4,-0.002089927438646555,-0.0021167690865695477,5.368351412471384e-05,0.012431949377059937,0.0,0.0,0.017363274469971657
5,0.000928390771150589,0.0008944469736889005,6.788760219933465e-05,0.01996704936027527,0.0,0.0,0.017557043582201004
6,0.0003617238253355026,0.0003417453553993255,3.995692532043904e-05,0.012079549953341484,0.0,0.0,0.017035214230418205
7,0.0001371036923956126,0.00010027816460933536,7.365104102063924e-05,0.01617174968123436,0.0,0.0,0.01707477495074272
8,0.0006188623956404626,0.0005968280602246523,4.4068630813853815e-05,0.011871925555169582,0.0,0.0,0.016971316188573837
9,-0.0009563887142576277,-0.0009796546073630452,4.653178984881379e-05,0.011769949458539486,0.0,0.0,0.017264965921640396
10,-0.0003787045425269753,-0.00040594226447865367,5.447542935144156e-05,0.015371949411928654,0.0,0.0,0.017292767763137817
11,0.000983729143626988,0.0009627921972423792,4.187396552879363e-05,0.012648124247789383,0.0,0.0,0.017004678025841713
12,0.0007038082694634795,0.0006834077648818493,4.08010309911333e-05,0.011113625019788742,0.0,0.0,0.017739441245794296
13,0.0006513475673273206,0.0006269251462072134,4.884487498202361e-05,0.013541849330067635,0.0,0.0,0.01650683395564556
14,1.0288677003700286e-05,-2.2659485694020987e-05,6.589632539544255e-05,0.016328800469636917,0.0,0.0,0.01773541048169136
15,-0.0012721703387796879,-0.001298682764172554,5.302488352754153e-05,0.013235474936664104,0.0,0.0,0.01602947898209095
16,0.0005349171697162092,0.0005027592997066677,6.431571091525257e-05,0.014051849022507668,0.0,0.0,0.016506429761648178
17,0.0012946375645697117,0.0012585563817992806,7.216229278128594e-05,0.01970132440328598,0.0,0.0,0.017072094604372978
18,0.0008446960709989071,0.0008204171317629516,4.8557925765635446e-05,0.015290900133550167,0.0,0.0,0.01676793023943901
19,0.0017569167539477348,0.0017192625673487782,7.530847506131977e-05,0.019492099061608315,0.0,0.0,0.016168519854545593
20,0.00018101526075042784,0.00015217659529298544,5.7677320000948384e-05,0.016514699906110764,0.0,0.0,0.01621817983686924
21,-4.678564800997265e-05,-7.987809658516198e-05,6.618489715037867e-05,0.013488700613379478,0.0,0.0,0.01651931181550026
22,0.0009033585083670914,0.000873842160217464,5.90326490055304e-05,0.015560300089418888,0.0,0.0,0.016961731016635895
23,0.0006917355931364,0.0006708312430419028,4.18086456193123e-05,0.013868275098502636,0.0,0.0,0.01671975664794445
24,0.0008114062948152423,0.000788907811511308,4.499695205595344e-05,0.015114974230527878,0.0,0.0,0.015498226508498192
25,-0.00024088090867735445,-0.0002600562875159085,3.835075403912924e-05,0.010001675225794315,0.0,0.0,0.01683160476386547
