epoch,objective,mean_loss,variance,cvar,terminal_penalty,avg_terminal_inventory_fraction,avg_participation_used
1,0.0017438946524634957,0.0017036469653248787,8.049548341659829e-05,0.016980700194835663,0.0,0.0,0.017254840582609177
2,0.0004472469154279679,0.00042307807598263025,4.83376752526965e-05,0.013206349685788155,0.0,0.0,0.017569810152053833
3,0.0003411486104596406,0.00031288116588257253,5.6534870964242145e-05,0.012847750447690487,0.0,0.0,0.016087068244814873
4,-0.0009935373673215508,-0.0010298577835783362,7.264089799718931e-05,0.014022724702954292,0.0,0.0,0.017709892243146896
5,0.0009607996325939894,0.000932287541218102,5.702420094166882e-05,0.017783023416996002,0.0,0.0,0.01735750399529934
6,-0.0005444934940896928,-0.0005734343430958688,5.788165799458511e-05,0.013930276036262512,0.0,0.0,0.017197048291563988
7,0.0005952846840955317,0.0005626704078167677,6.522853072965518e-05,0.016000350937247276,0.0,0.0,0.016267159953713417
8,-0.0017081632977351546,-0.0017363203223794699,5.631413296214305e-05,0.010080750100314617,0.0,0.0,0.01660636067390442
9,-3.6086421459913254e-05,-5.7854646001942456e-05,4.35364454460796e-05,0.010477825999259949,0.0,0.0,0.01656362973153591
10,-0.00017432362074032426,-0.00021415323135443032,7.965920667629689e-05,0.019436225295066833,0.0,0.0,0.016767803579568863
11,-0.0010612800251692533,-0.0010885687079280615,5.457740553538315e-05,0.015109649859368801,0.0,0.0,0.016355399042367935
12,-0.00035900180228054523,-0.000378756201826036,3.9508820918854326e-05,0.010782300494611263,0.0,0.0,0.01600136235356331
13,-0.0005412203026935458,-0.0005660610040649772,4.968137000105344e-05,0.01388774998486042,0.0,0.0,0.016424749046564102
14,-0.00014490696776192635,-0.00018907658522948623,8.833923493511975e-05,0.019742025062441826,0.0,0.0,0.01706772856414318
15,0.0015674078604206443,0.0015398984542116523,5.501882333192043e-05,0.018215950578451157,0.0,0.0,0.01581183820962906
16,0.0007078988710418344,0.0006753532215952873,6.509124796139076e-05,0.01575629971921444,0.0,0.0,0.015748482197523117
17,-0.00041314426925964653,-0.00043796084355562925,4.9633163143880665e-05,0.012735174968838692,0.0,0.0,0.016675006598234177
18,0.0002711760753300041,0.00024514220422133803,5.2067742217332125e-05,0.01734969951212406,0.0,0.0,0.01603453978896141
19,-0.000702719553373754,-0.0007330140797421336,6.0589103668462485e-05,0.013977725058794022,0.0,0.0,0.016012512147426605
20,9.02098254300654e-05,6.944061897229403e-05,4.153840563958511e-05,0.01282890047878027,0.0,0.0,0.016303226351737976
21,0.0010514706373214722,0.0010342515306547284,3.443827517912723e-05,0.011990674771368504,0.0,0.0,0.0158487930893898
22,0.0005533247604034841,0.0005157250561751425,7.519945211242884e-05,0.016663625836372375,0.0,0.0,0.01657719537615776
23,0.001038912683725357,0.0010082342196255922,6.135703733889386e-05,0.014315050095319748,0.0,0.0,0.016337942332029343
24,-0.00024678208865225315,-0.0002687078667804599,4.3851585360243917e-05,0.011456124484539032,0.0,0.0,0.016217989847064018
25,0.0010530337458476424,0.0010300562717020512,4.5954988308949396e-05,0.013943825848400593,0.0,0.0,0.01643167808651924
