epoch,objective,mean_loss,variance,cvar,terminal_penalty,avg_terminal_inventory_fraction,avg_participation_used
1,0.015683889389038086,0.0007192140910774469,4.3789656047010794e-05,0.014964674599468708,0.0,0.0,0.016633912920951843
2,0.008585949428379536,-0.0012520001037046313,4.5368029532255605e-05,0.009837949648499489,0.0,0.0,0.017155371606349945
3,0.016281064599752426,-4.62844327557832e-05,6.051258969819173e-05,0.016327349469065666,0.0,0.0,0.016793670132756233
4,0.009950084611773491,-0.0020959656685590744,5.214470365899615e-05,0.012046050280332565,0.0,0.0,0.017246175557374954
5,0.02020178735256195,0.0008738859323784709,6.361259147524834e-05,0.019327901303768158,0.0,0.0,0.017295334488153458
6,0.012034663930535316,0.0003617140173446387,3.730037133209407e-05,0.011672950349748135,0.0,0.0,0.016567405313253403
7,0.015454932115972042,6.870624201837927e-05,6.57929849694483e-05,0.015386225655674934,0.0,0.0,0.016439883038401604
8,0.01184246689081192,0.000569267082028091,3.99804521293845e-05,0.011273199692368507,0.0,0.0,0.016345156356692314
9,0.009105423465371132,-0.0009895515395328403,3.997497333330102e-05,0.010094975121319294,0.0,0.0,0.01650364138185978
10,0.013396332040429115,-0.0005058687529526651,4.679934136220254e-05,0.013902200385928154,0.0,0.0,0.016532739624381065
11,0.013311091810464859,0.0009723671828396618,3.6344794352771714e-05,0.012338724918663502,0.0,0.0,0.016085341572761536
12,0.011384924873709679,0.0006659749196842313,3.4221826354041696e-05,0.01071895007044077,0.0,0.0,0.0167608093470335
13,0.012692470103502274,0.0004304953326936811,4.174995410721749e-05,0.01226197462528944,0.0,0.0,0.015269492752850056
14,0.015017143450677395,6.966717774048448e-05,5.3317005949793383e-05,0.014947475865483284,0.0,0.0,0.016643192619085312
15,0.010663090273737907,-0.001152785960584879,4.146418723394163e-05,0.011815875768661499,0.0,0.0,0.015097489580512047
16,0.01381705142557621,0.0005418516811914742,5.155936014489271e-05,0.013275199569761753,0.0,0.0,0.015424199402332306
17,0.018811771646142006,0.0012264451943337917,5.331759894033894e-05,0.017585325986146927,0.0,0.0,0.015815913677215576
18,0.012292277067899704,0.0005486765876412392,3.5902688978239894e-05,0.011743600480258465,0.0,0.0,0.015278281643986702
19,0.017913542687892914,0.0012970187235623598,5.4668023949489e-05,0.016616523265838623,0.0,0.0,0.014945866540074348
20,0.01602243073284626,0.00034973278525285423,4.264338713255711e-05,0.015672698616981506,0.0,0.0,0.014894993975758553
21,0.01124543696641922,4.446095408638939e-05,4.4551441533258185e-05,0.011200975626707077,0.0,0.0,0.015168562531471252
22,0.013714087195694447,0.00066063751000911,4.0201033698394895e-05,0.013053449802100658,0.0,0.0,0.01566058024764061
23,0.012005623430013657,0.0005701982881873846,2.9053204343654215e-05,0.011435424908995628,0.0,0.0,0.015508686192333698
24,0.012856570072472095,0.00047964538680389524,3.088797166128643e-05,0.012376924976706505,0.0,0.0,0.013947817496955395
25,0.008432643488049507,-6.038124411134049e-05,2.59147745964583e-05,0.008493024855852127,0.0,0.0,0.015230047516524792
