objective,policy,mean_shortfall_bps_mean,mean_shortfall_bps_std,std_shortfall_bps_mean,std_shortfall_bps_std,cvar_95_bps_mean,cvar_95_bps_std,p99_shortfall_bps_mean,p99_shortfall_bps_std,worst_shortfall_bps_mean,worst_shortfall_bps_std,completion_rate_mean,completion_rate_std,avg_terminal_inventory_mean,avg_terminal_inventory_std,avg_participation_violation_shares_mean,avg_participation_violation_shares_std,forced_terminal_liquidation_shares_mean,forced_terminal_liquidation_shares_std,terminal_inventory_fraction_mean,terminal_inventory_fraction_std,forced_terminal_liquidation_fraction_mean,forced_terminal_liquidation_fraction_std,participation_violation_fraction_of_parent_order_mean,participation_violation_fraction_of_parent_order_std
cvar,Neural CVaR,-3.445704996078837,0.29750939365302603,58.91181177559836,1.517723306848292,122.38318790479684,1.369974204910065,134.97548620454725,2.2592856733676285,173.8775469386738,1.9356908460933209,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_variance,Neural Mean-Variance,-4.823590550731212,0.08950797903418019,71.92811566495615,2.3400182314717206,142.19419976045813,4.740502919330488,156.82148733825593,7.256694873379409,202.23979307844675,4.757171653413008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
