policy,n_seeds,mean_shortfall_bps_mean,mean_shortfall_bps_std,std_shortfall_bps_mean,std_shortfall_bps_std,cvar_95_bps_mean,cvar_95_bps_std,p99_shortfall_bps_mean,p99_shortfall_bps_std,worst_shortfall_bps_mean,worst_shortfall_bps_std,completion_rate_mean,completion_rate_std,avg_terminal_inventory_mean,avg_terminal_inventory_std,avg_participation_violation_shares_mean,avg_participation_violation_shares_std
TWAP,5,2.0471177196689654,9.31411087521919,136.70007939608317,4.3979478511085555,280.67602159306216,9.603616387805502,312.30331077224963,29.53444682217666,420.41216387342286,67.69735873904084,1.0,0.0,0.0,0.0,0.0,0.0
VWAP,5,2.0660542477146957,8.479355802732695,131.46211258017777,5.003175025875782,269.44130485933135,11.344279479085197,300.1841475017642,28.299431279668706,400.5041671085842,64.6274984607334,1.0,0.0,0.0,0.0,0.0,0.0
Almgren-Chriss,5,1.9439407872252423,8.774795795563444,128.15661061219785,3.8364717793644765,263.56160410233855,8.674256815593234,295.52972320645205,29.318764195349146,398.608029255747,61.483861745565044,1.0,0.0,0.0,0.0,0.0,0.0
Recalibrated AC,5,1.994863580742285,8.533900105112359,125.45937924441282,3.6620991117711155,258.48657315777746,8.230402675001303,289.43053633849047,26.68081293374041,389.68150830625075,59.99582727340669,1.0,0.0,0.0,0.0,0.0,0.0
Neural Policy,5,1.6196490928868612,5.6976146419053855,84.55796926844793,3.4080303879145197,181.87610357744342,8.144937732938809,208.11070846138637,25.688724612614877,290.98459358266666,49.98135039238698,1.0,0.0,0.0,0.0,0.0,0.0
