risk_aversion,mean_shortfall,std_shortfall,cvar_95,completion_rate,avg_first_half_liquidation_fraction
0.0,-8.367981193116814,139.49189795770747,276.7696200965073,1.0,0.49985114534250236
0.000125,-8.1885849096955,136.68911291423245,271.15684285006506,1.0,0.5191969149127951
0.0005,-7.745172181398489,129.37368814136224,256.1980175554526,1.0,0.5702190667494171
0.002,-6.725666599406899,110.14559054429478,217.25318803670686,1.0,0.7061822301649695
0.008,-5.619228698216393,82.27029267356869,160.0105800616595,1.0,0.891139966974285
