policy,mean_shortfall_bps,std_shortfall_bps,cvar_95_bps,p99_shortfall_bps,worst_shortfall_bps,completion_rate,avg_terminal_inventory,avg_participation_violation_shares
VWAP,-9.035745566180305,136.76277844356014,270.6567539646507,300.42804762316223,360.56826514042353,1.0,0.0,0.0
TWAP,-8.362347514136165,139.48042380634323,276.7696200965073,306.8964468312634,367.92014350859074,1.0,0.0,0.0
Almgren-Chriss,-7.745172181398489,129.37368814136224,256.1980175554526,282.53912233438456,318.16705857942065,1.0,0.0,0.0
Recalibrated AC,-7.478692628273307,126.69937717906562,250.79889666098413,279.03040326104497,313.8585562934987,1.0,0.0,0.0
