bucket_start_min,bucket_time,normalized_volume,avg_volume,realized_volatility,liquidity_regime,total_expected_volume_over_horizon,target_order_participation,max_participation_rate,recommended_parent_order_size,configured_parent_order_size,feasible_max_order_size,is_participation_feasible
810,13:30,0.08675264398443974,2996020.3833333333,0.0,high_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
815,13:35,0.024624443055108563,850410.2,0.00303019958612076,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
820,13:40,0.020747677835710302,716525.3166666667,0.0023491026919151923,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
825,13:45,0.019823918068897238,684623.0833333334,0.0023246502476032766,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
830,13:50,0.017707170852615653,611520.7833333333,0.0025277523649525103,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
835,13:55,0.016376169167010606,565554.3666666667,0.0021835575864618097,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
840,14:00,0.018197881701999062,628467.5833333334,0.0019729617056120628,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
845,14:05,0.01794841646149813,619852.25,0.001538879105060464,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
850,14:10,0.016023778521732618,553384.4833333333,0.0016349915839805036,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
855,14:15,0.01483074219885839,512182.72881355934,0.001559366221417712,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
860,14:20,0.013621202214366803,470411.0169491525,0.0017355670171087338,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
865,14:25,0.013250848625283534,457620.77966101695,0.001495339229905531,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
870,14:30,0.013871469551296894,479054.0508474576,0.0014685516266080194,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
875,14:35,0.013165562037521004,454675.3898305085,0.0018692710177740665,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
880,14:40,0.012544390457503858,433223.10169491527,0.0014370134193823234,high_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
885,14:45,0.013773566508565316,475672.9491525424,0.0015770007221604205,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
890,14:50,0.012054362379822825,416299.8813559322,0.0014376729082418225,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
895,14:55,0.011595272026821408,400445.10169491527,0.001405311582103784,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
900,15:00,0.012072192870563887,416915.66101694916,0.0016198011796367603,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
905,15:05,0.011500607143730617,397175.83050847455,0.0011790384751695412,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
910,15:10,0.011522452697221195,397930.27118644066,0.00146833339701421,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
915,15:15,0.012863802171110512,444254.0508474576,0.001045819185722395,high_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
920,15:20,0.009917411609248935,342499.8474576271,0.0010169157567258083,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
925,15:25,0.01059654222244867,365953.76271186443,0.001241697092958367,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
930,15:30,0.010280949750782697,355054.71186440677,0.0011670878349199292,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
935,15:35,0.00936017773182088,323255.66101694916,0.0012584932028901093,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
940,15:40,0.011232543670587326,387918.2033898305,0.0010792092617754533,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
945,15:45,0.0094784898179993,327341.593220339,0.0010300530936242635,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
950,15:50,0.0088048416966679,304077.0169491525,0.0011103608646407072,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
955,15:55,0.008801589795215965,303964.71186440677,0.0010105525416521802,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
960,16:00,0.008565315057485413,295804.9152542373,0.0010534094224388258,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
965,16:05,0.009072590580491738,313323.77966101695,0.0011108504899418358,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
970,16:10,0.008772900819774616,302973.9322033898,0.0009065584143772936,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
975,16:15,0.0102532786509241,354099.0847457627,0.0009237762015225185,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
980,16:20,0.009092540745602092,314012.76271186443,0.001281584626343092,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
985,16:25,0.008150270153881135,281471.25423728814,0.001133227981480305,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
