epoch,objective,mean_loss,variance,cvar,terminal_penalty,avg_terminal_inventory_fraction,avg_participation_used
1,0.0011243174085393548,0.0010903578950092196,6.791895430069417e-05,0.01529020071029663,1.8707268976362202e-15,1.1569172286840512e-08,0.01784111186861992
2,0.0007995140622369945,0.000753232860006392,9.256239718524739e-05,0.024695200845599174,5.637305357720338e-17,3.8696814641525634e-09,0.01762121543288231
3,0.0005114615778438747,0.00048451253678649664,5.38980784767773e-05,0.015559224411845207,1.7198138432205593e-16,6.111309236445095e-09,0.018074963241815567
4,0.0015638263430446386,0.0015219032065942883,8.384635293623433e-05,0.016551300883293152,3.49499902429652e-16,7.251389710916101e-09,0.018565522506833076
5,0.0016131737502291799,0.0015571687836199999,0.00011201002052985132,0.021860376000404358,1.0596370258750476e-16,4.729377778289745e-09,0.01783163845539093
6,-0.0015330874593928456,-0.0015645921230316162,6.300938548520207e-05,0.010232449509203434,7.707704020227084e-17,3.979140128507197e-09,0.017127038910984993
7,0.001884760451503098,0.0018558858428150415,5.774911551270634e-05,0.017256850376725197,9.823158218082859e-17,5.253358192902624e-09,0.0176765788346529
8,-0.0007069781422615051,-0.0007523593958467245,9.076248534256592e-05,0.016806799918413162,1.6690276005877636e-14,2.2336076099804814e-08,0.018046723678708076
9,0.0007726929616183043,0.0007302499725483358,8.488594176014885e-05,0.023180924355983734,1.8055922080445122e-16,6.323453316525729e-09,0.017606424167752266
10,-0.0001647905446588993,-0.00019795785192400217,6.633462908212095e-05,0.014606249518692493,6.087764493561769e-16,1.1886295503416022e-08,0.018278582021594048
11,0.00040806396282278,0.00036317025660537183,8.978740515885875e-05,0.020671850070357323,1.0071707728007118e-15,1.3030393652968542e-08,0.01835545338690281
12,-0.0005656371940858662,-0.0006075921701267362,8.390991570195183e-05,0.014652900397777557,1.1661055998037854e-15,1.2242390212691134e-08,0.018023338168859482
13,0.00149810581933707,0.0014744967920705676,4.721794539364055e-05,0.01631239987909794,2.7051318012568206e-16,8.466535916795692e-09,0.01789306476712227
14,0.0004974773619323969,0.00046291257604025304,6.912960088811815e-05,0.017789576202630997,1.2502271946526885e-15,1.4624913724503585e-08,0.018013477325439453
15,0.0001113115722546354,6.00342609686777e-05,0.00010255462257191539,0.018103450536727905,1.8762150358597176e-15,1.7446772915263864e-08,0.018104344606399536
16,0.0011178868589922786,0.0010807594517245889,7.42548072594218e-05,0.019351625815033913,1.9256918184956174e-16,6.979812727792023e-09,0.017376365140080452
17,0.0005919488030485809,0.00054849375737831,8.691004768479615e-05,0.018097249791026115,5.739154319833869e-16,1.0587238641335261e-08,0.017755672335624695
18,-0.0016901586204767227,-0.0017328967805951834,8.547625475330278e-05,0.014436175115406513,1.6270232367334228e-16,7.553872194421274e-09,0.018201513215899467
19,0.0013388512888923287,0.0013016860466450453,7.433048449456692e-05,0.0227774977684021,4.941148698357832e-16,8.019636510425698e-09,0.01757200062274933
20,-0.001634828862734139,-0.0016651405021548271,6.062318789190613e-05,0.012285474687814713,6.136455256092397e-17,4.38685798798133e-09,0.017538681626319885
21,-0.0008018500520847738,-0.0008367671980522573,6.983431376283988e-05,0.01342607568949461,1.877188064957876e-16,6.105242089660123e-09,0.017875123769044876
22,-0.00039035812369547784,-0.0004164312267675996,5.2146184316370636e-05,0.01370207592844963,4.944286492206266e-17,3.811215787408173e-09,0.0173453651368618
23,0.00017078490054700524,0.0001395718427374959,6.242612289497629e-05,0.015981923788785934,2.5363296492231653e-17,2.94823676583178e-09,0.017155075445771217
24,0.0016937361797317863,0.0016540595097467303,7.935325993457809e-05,0.019039075821638107,8.500878245181322e-17,5.004263670116416e-09,0.01779039576649666
25,-0.0009072356624528766,-0.0009405328892171383,6.659439532086253e-05,0.014822449535131454,7.034960013271177e-17,4.650546614470841e-09,0.017878729850053787
