policy,n_seeds,mean_shortfall_bps_mean,mean_shortfall_bps_std,std_shortfall_bps_mean,std_shortfall_bps_std,cvar_95_bps_mean,cvar_95_bps_std,p99_shortfall_bps_mean,p99_shortfall_bps_std,worst_shortfall_bps_mean,worst_shortfall_bps_std,completion_rate_mean,completion_rate_std,avg_terminal_inventory_mean,avg_terminal_inventory_std,avg_participation_violation_shares_mean,avg_participation_violation_shares_std,forced_terminal_liquidation_shares_mean,forced_terminal_liquidation_shares_std
TWAP,5,0.9018160636028242,8.417539309010923,97.29260223260171,4.189805658701696,193.36846787855671,15.057601473293742,213.66340281504955,20.130019520825105,263.4824493709142,25.987937988017375,1.0,0.0,0.0,0.0,68.63099817636308,119.24139092703103,68.63099817636308,119.24139092703103
VWAP,5,1.131991198832977,7.444484304646174,85.2236220018639,3.609863974201264,170.03405494537992,12.720137192351874,188.16734655658587,18.120716780616444,231.24114636687733,24.181933438089334,1.0,0.0,0.0,0.0,3516.092013073132,1163.5989159459,3516.092013073132,1163.5989159459
Almgren-Chriss,5,0.8460053158694061,8.3284496473817,95.66877844538155,4.175180376567086,190.0146038001905,14.814115902001985,210.61535008503492,19.433959789539923,260.00682884728224,27.205506018894006,1.0,0.0,0.0,0.0,2019.5781386796668,435.83009784344296,68030.59018987537,2220.737839161717
Recalibrated AC,5,0.8654889095558428,8.117205758703232,93.4523613127946,4.1494834519777966,185.5010233457212,15.049461992764808,205.46653634988192,19.288858343259356,252.80602820989026,23.651921563063734,1.0,0.0,0.0,0.0,16.75383828059442,37.462721279447315,16.75383828059457,37.46272127944731
Neural Policy,5,1.0080117500319454,7.44135771703995,82.93356556512774,4.355323551517659,165.15495204638574,15.56676082046088,184.2767290410589,16.881791101778322,234.8298965774878,25.91568334446744,1.0,0.0,0.0,0.0,2444.7249926676786,778.0147688158755,18064.503061308205,1918.5094326446008
