policy,mean_shortfall_bps,std_shortfall_bps,cvar_95_bps,p99_shortfall_bps,worst_shortfall_bps,completion_rate,avg_terminal_inventory,avg_participation_violation_shares,forced_terminal_liquidation_shares
TWAP,0.2346111810827506,92.45238876099329,200.0392984603765,218.55522128081157,238.418387630335,1.0,0.0,95.22111520957452,95.22111520957452
Almgren-Chriss,0.2565715869062833,90.88718054214536,196.76599575698978,213.66310003809977,234.40810661713448,1.0,0.0,2141.8395693743623,66944.22770603208
Recalibrated AC,0.2736089818925791,88.78453746828532,191.4821215418001,210.02834563365832,230.48292910033345,1.0,0.0,0.0,1.7462298274040223e-13
VWAP,0.3806074768574347,80.85910258044028,172.8712131524094,184.48184101321326,207.71440042295308,1.0,0.0,4229.280226324426,4229.280226324426
Neural Policy,0.697874169288726,78.73950602262838,168.54000229560552,184.50861464930946,206.07582411023944,1.0,0.0,809.0304928834714,16239.140860246182
