policy,mean_shortfall_bps,std_shortfall_bps,cvar_95_bps,p99_shortfall_bps,worst_shortfall_bps,completion_rate,avg_terminal_inventory,avg_participation_violation_shares,forced_terminal_liquidation_shares,terminal_inventory_fraction,forced_terminal_liquidation_fraction,participation_violation_fraction_of_parent_order
Recalibrated AC,0.27360898189258454,88.78453746828532,191.4821215418001,210.02834563365832,230.48292910033345,1.0,1.7462298274040223e-13,0.0,0.0,1.0112751927491559e-19,0.0,0.0
TWAP,0.7793453507276149,92.9949445658612,200.20068472225756,218.55522128081157,238.418387630335,0.996,95.22111520957452,0.0,0.0,5.5144374541182634e-05,0.0,0.0
Neural Policy,1.4770118064286184,63.44429462228811,144.5047397740231,161.27252407331108,178.06009129643678,0.78,0.02725855761062295,0.0,0.0,1.578595364089426e-08,0.0,0.0
VWAP,24.985431104490072,113.5531763368233,348.51208450925145,465.6618045507641,536.6496389485228,0.888,4229.280226324426,0.0,0.0,0.002449257313640465,0.0,0.0
Almgren-Chriss,388.06093881431644,234.9355934615007,946.1520433304397,998.2643783118399,1112.471983814376,0.0,66944.22770603208,0.0,0.0,0.03876868652364254,0.0,0.0
