seed,policy,mean_shortfall_bps,std_shortfall_bps,cvar_95_bps,p99_shortfall_bps,worst_shortfall_bps,completion_rate,avg_terminal_inventory,avg_participation_violation_shares,forced_terminal_liquidation_shares,terminal_inventory_fraction,forced_terminal_liquidation_fraction,participation_violation_fraction_of_parent_order
0,TWAP,-0.27914895280862245,103.41282017168713,208.00972508012813,229.90733492163426,276.34225237121086,0.996,3.0892763403783903,0.0,0.0,1.7890591934372814e-06,0.0,0.0
0,VWAP,26.85625220518837,122.57104473203943,357.5487063180289,402.57652675168674,473.2105178145969,0.88,4725.580590144372,0.0,0.0,0.0027366743753622995,0.0,0.0
0,Almgren-Chriss,376.9690366645219,238.76575090695394,953.547147756674,1011.1906043629969,1280.239488830469,0.0,65077.763599220285,0.0,0.0,0.03768778135311211,0.0,0.0
0,Recalibrated AC,-0.2847590382082897,99.50303604604565,200.14972507175364,219.86356682439876,263.390421764339,1.0,1.6007106751203536e-13,0.0,0.0,9.270022600200595e-20,0.0,0.0
0,Neural Policy,0.5994149096255017,71.9196974998695,144.10721171409304,162.08744561641495,225.0488795220179,0.756,2.0656981560812646,0.0,0.0,1.1962854305714082e-06,0.0,0.0
1,TWAP,1.5114807657823837,92.04742544148823,173.66701124144376,183.4393945733369,225.43972274313015,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,VWAP,16.832587512605816,101.6344297916883,275.0607612009067,304.78656365085794,590.8785272378082,0.928,2576.023887230576,0.0,0.0,0.0014918248515765386,0.0,0.0
1,Almgren-Chriss,406.7951955587787,261.3517069632072,1050.6565300318152,1171.389357205169,1256.258405923084,0.0,70011.06963803637,0.0,0.0,0.04054475352080836,0.0,0.0
1,Recalibrated AC,1.3484386765619738,88.1555683363663,165.23736400513027,175.06130736000955,217.28524920997373,1.0,2.0372681319713593e-13,0.0,0.0,1.1798210582073484e-19,0.0,0.0
1,Neural Policy,1.5054313753408821,59.69733814507833,115.54547223749304,138.29664290225472,153.5190757748572,0.776,0.3667491665265544,0.0,0.0,2.1239147805709926e-07,0.0,0.0
2,TWAP,-12.352158639472444,98.3389740421634,181.05752781656113,203.23431229327113,294.6535827934248,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,VWAP,4.649458848119218,104.68423555313895,279.53512984748517,351.5614552949922,412.7387091757237,0.912,2565.837677027465,0.0,0.0,0.001485925821835506,0.0,0.0
2,Almgren-Chriss,376.11133469039913,266.9082439262273,1057.1366143293735,1213.0211556067575,1393.0179921952338,0.0,67024.30763168358,0.0,0.0,0.03881506234484183,0.0,0.0
2,Recalibrated AC,-11.847244480711398,94.34985228365875,174.02693339098866,197.54080525150752,281.17703170573304,1.0,1.0186340659856796e-13,0.0,0.0,5.899105291036742e-20,0.0,0.0
2,Neural Policy,-7.505532476979767,65.13038493928453,128.68281568430697,153.9108212710655,197.41397288512488,0.796,0.01438355869449625,0.0,0.0,8.329794774390869e-09,0.0,0.0
3,TWAP,11.71262256543672,96.8802904956431,203.04755499407014,221.5758362391431,267.53459219381506,0.992,276.31836442638775,0.0,0.0,0.00016002126573501404,0.0,0.0
3,VWAP,37.81848344291272,123.04602478546452,390.19873372229665,541.1778291218072,589.7925893947564,0.876,4839.999768082296,0.0,0.0,0.0028029367163253964,0.0,0.0
3,Almgren-Chriss,400.8342339718069,251.8197340708311,985.2298404923774,1052.4065192644332,1104.08243298775,0.0,67585.4835280867,0.0,0.0,0.03914005007205579,0.0,0.0
3,Recalibrated AC,10.384313469084729,93.06178052700632,195.28497426716552,215.52902202673116,256.24072398321584,0.996,83.76919140297224,0.0,0.0,4.851234577089926e-05,0.0,0.0
3,Neural Policy,8.749705192246884,68.8043604101514,148.80112508202114,174.65534018208425,193.8613946780199,0.732,0.050474261406940925,0.0,0.0,2.9230613079755647e-08,0.0,0.0
4,TWAP,5.941462408279844,95.365067485442,201.06052026058043,230.16013604786235,253.44209675299018,0.996,63.74735011504928,0.0,0.0,3.6917313381756233e-05,0.0,0.0
4,VWAP,21.55404043492935,105.46108250867049,302.0601526112736,345.86106228181103,450.58747299217254,0.924,2873.018142880951,0.0,0.0,0.0016638199225659748,0.0,0.0
4,Almgren-Chriss,413.0207071704889,264.6907037170252,1055.2588129963087,1108.0444007972462,1488.6175330255753,0.0,70454.32655234987,0.0,0.0,0.04080145210333467,0.0,0.0
4,Recalibrated AC,5.2238106944670815,91.61742643531569,192.8061199935679,219.33798028676273,245.9367143861896,1.0,1.6007106751203536e-13,0.0,0.0,9.270022600200595e-20,0.0,0.0
4,Neural Policy,3.0209959365252574,64.64878767352933,135.63827589136275,146.70776340579312,181.94211322077288,0.764,1.292961539257312,0.0,0.0,7.487788315776828e-07,0.0,0.0
