policy,n_seeds,mean_shortfall_bps_mean,mean_shortfall_bps_std,std_shortfall_bps_mean,std_shortfall_bps_std,cvar_95_bps_mean,cvar_95_bps_std,p99_shortfall_bps_mean,p99_shortfall_bps_std,worst_shortfall_bps_mean,worst_shortfall_bps_std,completion_rate_mean,completion_rate_std,avg_terminal_inventory_mean,avg_terminal_inventory_std,avg_participation_violation_shares_mean,avg_participation_violation_shares_std,forced_terminal_liquidation_shares_mean,forced_terminal_liquidation_shares_std,terminal_inventory_fraction_mean,terminal_inventory_fraction_std,forced_terminal_liquidation_fraction_mean,forced_terminal_liquidation_fraction_std,participation_violation_fraction_of_parent_order_mean,participation_violation_fraction_of_parent_order_std
TWAP,5,1.3068516294435761,8.928682969794052,97.20891552728477,4.180736029770708,193.36846787855671,15.057601473293742,213.66340281504955,20.130019520825105,263.4824493709142,25.987937988017375,0.9968,0.003346640106136305,68.63099817636308,119.24139092703103,0.0,0.0,0.0,0.0,3.974552766204151e-05,6.905497701449523e-05,0.0,0.0,0.0,0.0
VWAP,5,21.542164488751094,12.25460981782939,111.47936347420034,10.441853708414298,320.88069673999826,50.775654730551935,389.192687420231,91.78336389492011,503.44156332301156,82.21344338059485,0.9040000000000001,0.024494897427831803,3516.092013073132,1163.5989159459,0.0,0.0,0.0,0.0,0.0020362363375331432,0.0006738624547235176,0.0,0.0,0.0,0.0
Almgren-Chriss,5,394.7461016111991,17.171821432629265,256.7072279168489,11.566676191533034,1020.3657891213097,47.92288442487936,1111.2104074473204,82.85350974355683,1304.4431705924223,145.61740085768426,0.0,0.0,68030.59018987537,2220.737839161717,0.0,0.0,0.0,0.0,0.03939781987883055,0.00128607188532693,0.0,0.0,0.0,0.0
Recalibrated AC,5,0.9649118642388196,8.25717061448919,93.33753272567854,4.151077629310421,185.5010233457212,15.049461992764808,205.46653634988192,19.288858343259356,252.80602820989026,23.651921563063734,0.9992000000000001,0.0017888543819998333,16.75383828059457,37.46272127944731,0.0,0.0,0.0,0.0,9.702469154179925e-06,2.1695380578340995e-05,0.0,0.0,0.0,0.0
Neural Policy,5,1.2740029873517515,5.842237990778199,66.04011373358261,4.615321272793213,134.5549801218554,13.145484106046402,155.13160267552252,14.012738161140533,190.35708721615853,25.949234737355294,0.7648000000000001,0.02373183515870614,0.7580533363933135,0.8948314923666102,0.0,0.0,0.0,0.0,4.390032296120673e-07,5.182140836904216e-07,0.0,0.0,0.0,0.0
